,0,1,2,3
0,ADDE,"椅子, 黑色",$99,4.5(2)
1,LISABO,"椅子, 梣木",$490,4(3)
2,TEODORES,"椅子, 白色",$249.9,3(2)
3,STEFAN,"椅子, 白色",$199,5(1)
4,ADDE,"椅子, 紅色/白色",$99,4.5(2)
5,EKEDALEN,"椅子, 深褐色/orrsta 淺灰色",$495,4(1)
6,MARTIN,"椅子, 黑色/黑色",$249.9,0 (0)
7,LERHAMN,"椅子, 淺仿古染色/vittaryd 米黃色",$270,4.5(6)
8,ADDE,"椅子, 白色",$99,0 (0)
9,TEODORES,"椅子, 淺湖水綠色",$249.9,0(0)
10,STEFAN,"椅子, 黑褐色",$199,0 (0)
11,NORDMYRA,"椅子, 白色/樺木",$449,3.5(2)
12,EKEDALEN,"椅子, 橡木/orrsta 淺灰色",$495,4.5(2)
13,JOKKMOKK,"椅子, 仿古染色",$249,4(3)
14,ODGER,"椅子, 藍色",$799,0 (0)
15,LEIFARNE,"椅子, 白色/ernfrid 樺木",$500,0 (0)
16,ÄPPLARÖ,"戶外椅子, 可摺合 染褐色",$350,0(0)
17,BERGMUND,"椅子, 白色/orrsta 淺灰色",$599,0 (0)
18,NORDMYRA,"椅子, 竹/白色",$449,0 (0)
19,JANINGE,"椅子, 白色",$599,0 (0)
20,LEIFARNE,"椅子, 白色/broringe 白色",$349,4(1)
21,BERGMUND,"椅子, 白色/gunnared 暗灰色",$599,0 (0)
22,LERHAMN,"椅子, 棕黑色/vittaryd 米黃色",$270,0(0)
23,LISABO,"椅子, 黑色",$490,0 (0)
24,VOXLÖV,"椅子, 淺色竹",$790,0 (0)
25,SVENBERTIL,"椅子, 白色/ernfrid 樺木",$500,0 (0)
26,LEIFARNE,"椅子, 深黃色/broringe 白色",$349,0 (0)
27,TOBIAS,"椅子, 透明/鍍鉻",$799,0 (0)
28,BERNHARD,"椅子, 鍍鉻/mjuk 白色","$1,290",0 (0)
29,NORDVIKEN,"椅子, 仿古染色",$499,2(1)
30,ASKHOLMEN,"戶外椅子, 可摺合 染淺褐色",$189.9,0 (0)
31,KÄTTIL,"椅子, 白色/knisa 淺灰色",$499,0 (0)
32,VIHOLMEN,"戶外椅子, 深灰色",$299.9,0 (0)
33,SVENBERTIL,"椅子, 黑色/broringe 黑色",$349,0 (0)
34,VEDBO,"椅子, 樺木/gunnared 暗灰色","$1,290",0 (0)
35,SANDSBERG,"椅子, 黑色/染褐色",$199,0 (0)
36,INGOLF,"椅子, 黑褐色",$599,0(0)
37,RÖNNINGE,"椅子, 黑色",$799,0 (0)
38,SVENBERTIL,"椅子, 白色/broringe 白色",$349,0 (0)
39,SVENBERTIL,"椅子, 白色/broringe 鍍鉻",$349,0 (0)
40,INGOLF,"椅子, 白色/hallarp 米黃色",$599,0 (0)
41,NORRARYD,"椅子, 白色",$799,0 (0)
42,LEIFARNE,"椅子, 白色/broringe 鍍鉻",$349,5(1)
43,NORRARYD,"椅子, 黑色",$799,0 (0)
44,SVENBERTIL,"椅子, 黑色/broringe 鍍鉻",$349,0 (0)
45,SVENBERTIL,"椅子, 黑色/broringe 白色",$349,0 (0)
46,LEIFARNE,"椅子, 深黃色/ernfrid 樺木",$500,0 (0)
47,LÄCKÖ,"戶外椅子, 灰色",$200,0 (0)
48,BERGMUND,"椅子連中長椅套, 白色/inseros 白色",$699,0 (0)
49,KÄTTIL,"椅子, 黑色/knisa 深灰色",$499,0 (0)
50,OMTÄNKSAM,"椅子, 淺灰色",$990,0 (0)
51,BERGMUND,"椅子, 白色/rommele 深藍色/白色",$599,0 (0)
52,LEIFARNE,"椅子, 深黃色/broringe 鍍鉻",$349,0 (0)
53,TÄRNÖ,"戶外椅子, 可摺合/紅色 染淺褐色",$119,0 (0)
54,TOBIAS,"椅子, 藍色/鍍鉻",$799,0 (0)
55,LEIFARNE,"椅子, 白色/broringe 黑色",$349,0 (0)
56,RÅGRUND,"毛巾架/椅子, 竹",$499,0 (0)
57,SVENBERTIL,"椅子, 白色/broringe 黑色",$349,0 (0)
58,SVENBERTIL,"椅子, 黑色/ernfrid 樺木",$500,0 (0)
59,BERGMUND,"椅子, 白色/fågelfors 彩色",$599,2(1)
60,LEIFARNE,"椅子, 深黃色/broringe 黑色",$349,0 (0)
61,NORDVIKEN,"椅子, 白色",$490,0 (0)
62,BERGMUND,"椅子, 白色/kvillsfors 深藍色/藍色",$599,0 (0)
63,JANINGE,"椅子, 黃色",$599,0 (0)
64,BERGMUND,"椅子連中長椅套, 白色/nolhaga 灰色/米黃色",$699,0 (0)
65,ALEX/LÅNGFJÄLL/KALLAX,"書檯連貯物組合, 和旋轉椅子 灰湖水綠色/黑色","$2,888",0 (0)
66,BERGMUND,"椅子連中長椅套, 白色/ryrane 深藍色",$699,0 (0)
67,BILLY/OXBERG/ANFALLARE/LÅNGFJÄLL,"書檯連貯物組合, 和旋轉椅子 竹/米黃色 白色","$2,988",0 (0)
68,EKEDALEN,"椅子, 橡木/hakebo 米黃色",$574,0 (0)
69,HELMER/UTESPELARE,"電競檯，椅子及抽屜, 160x80 cm, 淺灰色 灰色/白色","$2,609",0 (0)
70,STRANDMON,"兒童扶手椅, vissle 灰色",$990,4(1)
71,MAMMUT,"兒童檯, 室內/戶外用 白色",$349.9,0 (0)
72,MAMMUT,"兒童檯, 室內/戶外用 藍色",$379.9,5(1)
73,FLISAT,兒童凳,$149.9,5(2)
74,KRITTER,"兒童椅, 白色",$159.9,0 (0)
75,MAMMUT,"兒童椅, 室內/戶外用/白色",$119.9,0 (0)
76,PÅHL,"添加組合, 白色/綠色",$150,4(1)
77,MAMMUT,"兒童檯, 室內/戶外用 紅色",$349.9,0 (0)
78,MAMMUT,"兒童凳, 室內/戶外用/白色",$49.9,5(1)
79,SMÅGÖRA,"書檯, 白色",$499,0 (0)
80,MAMMUT,"兒童椅, 室內/戶外用/紅色",$119.9,0 (0)
81,MAMMUT,"兒童椅, 室內/戶外用/粉紅色",$119.9,0 (0)
82,MAMMUT,"兒童椅, 室內/戶外用/藍色",$119.9,0 (0)
83,DUNDRA,"活動桌連抽屜, 白色/灰色",$990,0 (0)
84,TROGEN,"兒童腳踏, 黃色",$229.9,0 (0)
85,MAMMUT,"兒童凳, 室內/戶外用/深紫色",$49.9,0 (0)
86,MAMMUT,"兒童凳, 室內/戶外用/黃色",$49.9,0 (0)
87,ÖVNING,桌上屏風連間隔,$99.9,0 (0)
88,ÖVNING,文具收納架袋,$99.9,0 (0)
89,UTTER,"兒童檯, 室內/戶外用/白色",$79.9,0 (0)
90,UTTER,"兒童凳, 室內/戶外用/白色",$35,0 (0)
91,POÄNG,"兒童扶手椅椅墊, knisa 淺米黃色",$190,0 (0)
92,POÄNG,"兒童扶手椅椅墊, medskog/恐龍",$190,0 (0)
93,UTTER,"兒童凳, 室內/戶外用/綠色",$35,0 (0)
94,UTTER,"兒童凳, 室內/戶外用/粉紅色",$35,0 (0)
95,UTTER,"兒童凳, 室內/戶外用/黃色",$35,0 (0)
96,TÄRNÖ,"戶外椅子, 可摺合 黑色/染淺褐色",$119,0 (0)
97,FEJAN,"戶外椅子, 可摺合 白色",$99,0 (0)
98,BERGMUND,"椅子, 橡木/gunnared 暗灰色",$698,0 (0)
99,INGOLF,"椅子, 白色",$599,5(1)
100,RÖNNINGE,"椅子, 樺木",$799,4(1)
101,ODGER,"椅子, 白色/米黃色",$799,5(1)
